State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Village Code,Pincode,Category,Status
Tamil Nadu,Chengalpattu,730,Chengalpattu,5706,Thenmelpakkam,,629468,603204,Rural,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Thandrampet,5726,Thenmudiyanur,,632014,606707,Rural,Inhabitant
Tamil Nadu,Tiruppur,634,Uthukuli,6616,Thenmugam Kangayapalayam,,644717,638751,Rural,Inhabitant
Tamil Nadu,Erode,573,Perundurai,5752,Thenmugam Vellode,,634998,638112,Rural,Inhabitant
Tamil Nadu,Erode,573,Perundurai,5752,Thenmugam Vellode B,தென்முகம் வெள்ளொடு ஆ,933185,638112,Rural,Inhabitant
Tamil Nadu,Nagapattinam,579,Vedaranyam,5802,Thennadar,,637837,614714,Rural,Inhabitant
Tamil Nadu,Thanjavur,586,Orathanadu,5815,Thennamanadu South,,638881,614625,Rural,Inhabitant
Tamil Nadu,Thanjavur,586,Orathanadu,5815,Thennamanadunorth,,638880,614625,Rural,Inhabitant
Tamil Nadu,Tirupathur,732,Ambur,5719,Thennambattu,,631026,635802,Rural,Inhabitant
Tamil Nadu,Coimbatore,569,Perur,5957,Thennammanallur,,644447,641109,Rural,Inhabitant
Tamil Nadu,Thoothukkudi,594,Kayathar,6628,Thennampatti,,642412,628714,Rural,Inhabitant
Tamil Nadu,Mayiladuthurai,735,Sirkali,5795,Thennampattiam,,637414,609106,Rural,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Vembakkam,6624,Thennampattu,,631244,632511,Rural,Inhabitant
Tamil Nadu,Salem,584,Pethanaickanpalayam,6618,Thennampillaiyur,,634274,636119,Rural,Inhabitant
Tamil Nadu,Thanjavur,586,Thiruvaiyaru,5813,Thennancheri,,638688,613204,Rural,Inhabitant
Tamil Nadu,Pudukkottai,582,Kulathur,5819,Thennangudi,,639357,622301,Rural,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Vandavasi,5723,Thennangur,,631449,604408,Rural,Inhabitant
Tamil Nadu,Thanjavur,586,Peravurani,5817,Thennankudi,,639150,614804,Rural,Inhabitant
Tamil Nadu,Pudukkottai,582,Kulathur,5819,Thennathirayanpatti,,639316,622301,Rural,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Vandavasi,5723,Thennathur,,631594,604502,Rural,Inhabitant
Tamil Nadu,Kancheepuram,574,Walajabad,6626,Thenneri,,629648,631604,Rural,Inhabitant
Tamil Nadu,Kancheepuram,574,Walajabad,6626,Thenneri,தென்னேரி,932710,631604,Rural,Inhabitant
Tamil Nadu,Sivaganga,585,Devakottai,5831,Thenniervayal,,640148,630311,Rural,Inhabitant
Tamil Nadu,Karur,576,Kadavur,5772,Thennilai,,635652,639109,Rural,Inhabitant
Tamil Nadu,Karur,576,Pugalur,6676,Thennilai(East),,635494,639206,Rural,Inhabitant
Tamil Nadu,Karur,576,Pugalur,6676,Thennilai(South),,635500,639206,Rural,Inhabitant
Tamil Nadu,Karur,576,Pugalur,6676,Thennilai(West),,635501,639206,Rural,Inhabitant
Tamil Nadu,Kallakurichi,729,Kallakkurichi,5734,Thennirikuppam,,633430,606206,Rural,Inhabitant
Tamil Nadu,Tiruchirappalli,591,Tiruchirappalli West,5779,Thennur,தென்னூர்,931866,620017,Urban,Inhabitant
Tamil Nadu,Virudhunagar,597,Kariapatti,5851,Thenoor,,641448,626106,Rural,Inhabitant
Tamil Nadu,Chengalpattu,730,Cheyyur,5711,Thenpakkam,,630237,603304,Rural,Inhabitant
Tamil Nadu,Madurai,578,Thirupparankundram,5962,Thenpalanji,,641025,625021,Rural,Inhabitant
Tamil Nadu,Vellore,595,Katpadi,5713,Thenpalli,,630387,632515,Rural,Inhabitant
Tamil Nadu,Thiruvarur,590,Mannargudi,5808,Thenparai,,638292,614020,Rural,Inhabitant
Tamil Nadu,Tiruchirappalli,591,Thuraiyur,5775,Thenparanadu,,635762,621011,Rural,Inhabitant
Tamil Nadu,Thiruvarur,590,Mannargudi,5808,Thenpathi,,638271,614716,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Tirunelveli,5876,Thenpathu,,642885,627357,Rural,Inhabitant
Tamil Nadu,Thanjavur,586,Thiruvaiyaru,5813,Thenperambur,,638756,613101,Rural,Inhabitant
Tamil Nadu,Ramanathapuram,583,Paramakudi,5856,Thenpoduvakudi,,641928,623706,Rural,Inhabitant
Tamil Nadu,Kallakurichi,729,Chinnasalem,5977,Thenponparappi,,633515,606201,Rural,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Cheyyar,5722,Thenpoondipattu,,631318,604402,Rural,Inhabitant
Tamil Nadu,Vellore,595,Anaicut,5964,Thenpudipattu,,630988,632107,Rural,Inhabitant
Tamil Nadu,Coimbatore,569,Anaimalai,6643,Thensangampalayam,,644584,642104,Rural,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Vandavasi,5723,Thensenthamangalam,,631469,604404,Rural,Inhabitant
Tamil Nadu,Kallakurichi,729,Chinnasalem,5977,Thensiruvalur,,633540,606204,Rural,Inhabitant
Tamil Nadu,Coimbatore,569,Anaimalai,6643,Thensithur,,644581,642007,Rural,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Cheyyar,5722,Thenthandalam,,631373,604401,Rural,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Vandavasi,5723,Thenthinnalur,,631596,604501,Rural,Inhabitant
Tamil Nadu,Thoothukkudi,594,Eral,6633,Thenthiruperai,,933458,628623,Urban,Inhabitant
Tamil Nadu,Thoothukkudi,594,Eral,6633,Thenthiruperai (Kurukatur),,642550,628623,Rural,Inhabitant
Tamil Nadu,Thoothukkudi,594,Eral,6633,Thenthiruperai (Rajapathi),,642551,628623,Rural,Inhabitant
Tamil Nadu,Kallakurichi,729,Kallakkurichi,5734,Thenthorasalur,,633504,606204,Rural,Inhabitant
Tamil Nadu,Chengalpattu,730,Chengalpattu,5706,Thenur,,629505,603003,Rural,Inhabitant
Tamil Nadu,Perambalur,581,Alathur,5951,Thenur,,636285,621114,Rural,Inhabitant
Tamil Nadu,Pudukkottai,582,Ponnamaravathi,5823,Thenur,,639552,622401,Rural,Inhabitant
Tamil Nadu,Tiruchirappalli,591,Marungapuri,5954,Thenur,,636098,621308,Rural,Inhabitant
Tamil Nadu,Madurai,578,Madurai North,5836,Thenur Bit 1,,640615,625402,Rural,Inhabitant
Tamil Nadu,Madurai,578,Madurai North,5836,Thenur Bit 2,,932932,625402,Rural,Inhabitant
Tamil Nadu,Vellore,595,Vellore,5717,Thenvellore,,933916,632004,Urban,Inhabitant
Tamil Nadu,Theni,588,Andipatti,5846,Theppampatti,,641161,625512,Rural,Inhabitant
Tamil Nadu,Thanjavur,586,Thiruvidaimarudur,5810,Thepperumanallur,,638462,612204,Rural,Inhabitant
Tamil Nadu,Sivaganga,585,Devakottai,5831,Theralappur,,640155,630303,Rural,Inhabitant
Tamil Nadu,Kanniyakumari,575,Agastheeswaram,5884,Therekalputhoor,தேரேகால்புதூர்,932038,629901,Rural,Inhabitant
Tamil Nadu,Ramanathapuram,583,Mudukulathur,5857,Theriruveli,,641994,623711,Rural,Inhabitant
Tamil Nadu,Mayiladuthurai,735,Kuthalam,5797,Therizhandur,,637523,609808,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Ambasamudram,5878,Therkku Kallidaikurichi Part 2,தெற்கு கல்லிடைக்குறிச்சி பகுதி 2,932758,627416,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Radhapuram,5880,Therkku Kallikulam,,933608,627113,Rural,Inhabitant
Tamil Nadu,Tenkasi,733,Sankarankoil,5871,Therkku Sankarankovil,,642689,627862,Rural,Inhabitant
