State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Telangana,Rajanna Sircilla,683,Veernapalli,6220,Adavipadira,అదవిపదిర,transliterated,572391,505305,,
Telangana,Mulugu,720,Venkatapur,4684,Adavirangapur,అదవిరంగపూర్,transliterated,577853,506168,,
Telangana,Jogulamba Gadwal,695,Maldakal,4604,Adaviravalcheruvu,అడవిరవాల్‌చెరువు,authoritative,576241,509132,,
Telangana,Peddapalli,682,Manthani,4401,Adavisomanpalle,అదవిసొమంపల్లె,transliterated,571804,505184,,
Telangana,Peddapalli,682,Mutharam (Manthani),4406,Adavisrirampur,అదవిస్రిరంపూర్,transliterated,571959,505184,,
Telangana,Kumuram Bheem Asifabad,699,Asifabad,4319,Addaghat,అద్దఘత్,transliterated,569538,504292,,
Telangana,Yadadri Bhuvanagiri,697,Adda Guduru,6310,Addagudoor,అద్దగుదూర్,transliterated,576687,508277,,
Telangana,Mahabubnagar,512,Addakal,4586,Addakal,అడ్డకల్,authoritative,575810,509382,,
Telangana,Mahabubnagar,512,Addakal,4586,Addakal,అడ్డకల్,authoritative,955990,509382,,
Telangana,Kumuram Bheem Asifabad,699,Jainoor,4320,Addesar,అద్దెసర్,transliterated,569544,504313,,
Telangana,Adilabad,501,Ichoda,4322,Adegaon (Buzurg),అదెగాంవ్ (బుజుర్గ్),transliterated,569612,504307,,
Telangana,Adilabad,501,Ichoda,4322,Adegaon (Khurd),అదెగాంవ్ (ఖుర్ద్),transliterated,569597,504307,,
Telangana,Nirmal,680,Sarangapur,4336,Adelli,అదెల్లి,transliterated,570078,504110,,
Telangana,Adilabad,501,Gadiguda,6225,Ademeyon,అదెమెయొన్,transliterated,569213,504311,,
Telangana,Kumuram Bheem Asifabad,699,Chintalamanepally,6314,Adepally,అదెపల్లి,transliterated,569365,504299,,
Telangana,Vikarabad,698,Yelal,4536,Adhalipur,అధలిపూర్,transliterated,574510,501144,,
Telangana,Mulugu,720,Tadvai,4687,Adhervai,అధెర్వై,transliterated,577957,506347,,
Telangana,Ranga Reddy,518,Ibrahimpatnam,4546,Adibatla,అదిబత్ల,transliterated,574827,501510,,
Telangana,Adilabad,501,Adilabad Urban,4306,Adilabad,ఆదిలాబాద్,authoritative,956068,504001,,
Telangana,Nagarkurnool,694,Peddakothapally,4599,Adirala,అదిరల,transliterated,576123,509412,,
Telangana,Jayashankar Bhupalapally,687,Kataram,4402,Adivarampet,అదివరంపెత్,transliterated,571832,505503,,
Telangana,Peddapalli,682,Ramagiri,6216,Adivarampet,అదివరంపెత్,transliterated,571942,505212,,
Telangana,Mahabubabad,688,Gudur,4711,Adivarampet,అదివరంపెత్,transliterated,578461,506134,,
Telangana,Suryapet,696,Jajireddygudem,4623,Adivemula,అదివెముల,transliterated,576654,508224,,
Telangana,Nalgonda,514,Adavidevulapalli,6304,Adividevulapally,అదివిదెవులపల్లి,transliterated,577477,508208,,
Telangana,Narayanpet,721,Maganoor,4590,Adivikhanapur,అదివిఖనపూర్,transliterated,575919,509352,,
Telangana,Narayanpet,721,Maganoor,4590,Adivisatyavaram,అదివిసత్యవరమ్,transliterated,575933,509208,,
Telangana,Mancherial,684,Chennur,4356,Adiwarpet,అదివర్పెత్,transliterated,570655,504201,,
Telangana,Mancherial,684,Kotapally,4351,Adkapalle,అద్కపల్లె,transliterated,570525,504214,,
Telangana,Nizamabad,516,Kotagiri,4371,Adkas Palle,అద్కస్ పల్లె,transliterated,571044,503207,,
Telangana,Vikarabad,698,Peddemul,4533,Adkicherla,అద్కిచెర్ల,transliterated,574405,501142,,
Telangana,Kamareddy,685,Kamareddy,4390,Adloor,అద్లూర్,transliterated,571545,503111,,
Telangana,Kamareddy,685,Sadashivanagar,4381,Adloor Yellareddy,అద్లూర్ యెల్లరెద్ద్య్,transliterated,571322,503145,,
Telangana,Nalgonda,514,Shaligouraram,4624,Adlur,అద్లుర్,transliterated,576670,508210,,
