State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Kerala,Palakkad,563,Chittur,5650,Kollengode-I,കൊല്ലെങ്കോട്-ഇ,transliterated,627679,678506,,
Kerala,Palakkad,563,Chittur,5650,Kollengode-Ii,കൊല്ലെങ്കോട്-ഐ,transliterated,627678,678506,,
Kerala,Kannur,557,Thalassery,5634,Koloyad,കൊളോയാഡ്,transliterated,627266,670650,,
Kerala,Alappuzha,554,Ambalappuzha,5674,Komalapuram (Ct),കോമളപുരം (സിടി),transliterated,628234,688006,,
Kerala,Ernakulam,555,Kunnathunad,5657,Kombanad,കൊമ്പനാട്,authoritative,627942,683546,,
Kerala,Palakkad,563,Palakkad,5649,Kongad-I,കൊങ്ങാട്-ഇ,transliterated,627632,678631,,
Kerala,Palakkad,563,Palakkad,5649,Kongad-Ii,കൊങ്ങാട്-ഐ,transliterated,627628,678631,,
Kerala,Idukki,556,Idukki,5942,Konnathady,കൊന്നത്തടി,authoritative,628061,685571,,
Kerala,Pathanamthitta,564,Konni,5943,Konni,കോന്നി,authoritative,628338,689691,,
Kerala,Pathanamthitta,564,Konni,5943,Konnithazham,കൊന്നിത്താഴം,transliterated,628335,689691,,
Kerala,Pathanamthitta,564,Konni,5943,Koodal,കൂടൽ,authoritative,628348,689693,,
Kerala,Kannur,557,Thalassery,5634,Koodali (Ct),കൂടലി (സിടി),transliterated,627272,670592,,
Kerala,Kozhikode,561,Thamarassery,5938,Koodaranji,കൂടരഞ്ഞി,authoritative,627412,673604,,
Kerala,Kozhikode,561,Thamarassery,5938,Koodathayi,കൂടത്തായി,authoritative,627409,673582,,
Kerala,Thrissur,566,Kodungallur,5655,Koolimuttam,കൂലിമുറ്റം,transliterated,627870,680691,,
Kerala,Kozhikode,561,Koyilandi,5639,Koorachundu,കൂരാച്ചുണ്ടു്,authoritative,627379,673527,,
Kerala,Thrissur,566,Thrissur,5654,Koorkkanchery,കൂർക്കാഞ്ചേരി,transliterated,913775,680007,,
Kerala,Kozhikode,561,Koyilandi,5639,Koothali (Ct),കൂത്തലി (സിടി),transliterated,627388,673525,,
Kerala,Ernakulam,555,Muvattupuzha,5662,Koothattukulam,കൂത്താട്ടുകുളം,authoritative,628035,686662,,
Kerala,Ernakulam,555,Kunnathunad,5657,Koovappady (Ct),കൂവപ്പാടി (സിടി),transliterated,627956,683544,,
Kerala,Kottayam,560,Kanjirappally,5672,Koovappally,കൂവപ്പള്ളി,transliterated,628202,686518,,
Kerala,Kannur,557,Taliparamba,5632,Kooveri,കൂവേരി,transliterated,627193,670581,,
Kerala,Palakkad,563,Pattambi,5940,Koppam,കൊപ്പം,authoritative,627585,679307,,
Kerala,Kannur,557,Payyannur,6599,Korom,കോറോം,transliterated,913288,670307,,
Kerala,Kottayam,560,Kanjirappally,5672,Koruthode,കൊരുത്തോടെ,transliterated,916076,686513,,
Kerala,Kottayam,560,Vaikom,5669,Kothanalloor,കോതനല്ലൂര്‍,authoritative,628154,686603,,
Kerala,Idukki,556,Devikulam,5664,Kottakamboor,കോട്ടകമ്പൂർ,transliterated,628052,685615,,
