State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Karnataka,Dakshina Kannada,534,Mangaluru,5561,87 Kadri A,87 ಕದ್ರಿ ಅ,transliterated,938768,575002,Urban,Inhabitant
Karnataka,Dakshina Kannada,534,Mangaluru,5561,87 Kadri B,87 ಕದ್ರಿ ಬ್,transliterated,938767,575002,Urban,Inhabitant
Karnataka,Dakshina Kannada,534,Mangaluru,5561,89 Kodiyala A,89 ಕೊದಿಯಲ ಅ,transliterated,938770,575003,Urban,Inhabitant
Karnataka,Dakshina Kannada,534,Mangaluru,5561,89 Kodiyala B,89 ಕೊದಿಯಲ ಬ್,transliterated,938769,575003,Urban,Inhabitant
Karnataka,Dakshina Kannada,534,Mangaluru,5561,90 Boluru A,90 ಬೊಲುರು ಅ,transliterated,938772,575003,Urban,Inhabitant
Karnataka,Dakshina Kannada,534,Mangaluru,5561,90 Boluru B,90 ಬೊಲುರು ಬ್,transliterated,938771,575003,Urban,Inhabitant
Karnataka,Dakshina Kannada,534,Mangaluru,5561,91 Kasaba Bajar,91 ಕಸಬ ಬಜರ್,transliterated,938773,575001,Urban,Inhabitant
Karnataka,Udupi,549,Kapu,7067,92 Heroor,92 ಹೆರೂರ್,transliterated,608826,574115,Rural,Inhabitant
Karnataka,Dakshina Kannada,534,Mangaluru,5561,92 Mangaluru Tota,92 ಮಂಗಲುರು ತೊತ,transliterated,938774,575001,Urban,Inhabitant
Karnataka,Bengaluru Urban,525,Anekal,5545,A Medihalli,ಅ ಮೆದಿಹಳ್ಳಿ,transliterated,613308,,Rural,Inhabitant
Karnataka,Shivamogga,547,Shikarpur,5517,A. Annapura,ಅ. ಅಂನಪುರ,transliterated,607773,577214,Rural,Inhabitant
Karnataka,Tumakuru,548,Kunigal,5541,A. Hosahalli,ಅ. ಹೊಸಹಳ್ಳಿ,transliterated,612543,572126,Rural,Inhabitant
Karnataka,Mandya,544,Nagamangala,5547,A. Shanboganahalli,ಅ. ಶಂಬೊಗನಹಳ್ಳಿ,transliterated,614016,571431,Both,Inhabitant
Karnataka,Hassan,539,Channarayapatna,5560,A.Belaguli,ಅ.ಬೆಲಗುಲಿ,transliterated,617272,573131,Rural,Inhabitant
Karnataka,Chamarajanagar,531,Yelandur,5578,A.Devarahalli,ಅ.ದೆವರಹಳ್ಳಿ,transliterated,619792,571441,Rural,Inhabitant
Karnataka,Tumakuru,548,Turuvekere,5540,A.Hosahalli,ಅ.ಹೊಸಹಳ್ಳಿ,transliterated,612193,572212,Rural,Inhabitant
Karnataka,Mandya,544,Mandya,5550,A.Hullukere,ಅ.ಹುಲ್ಲುಕೆರೆ,transliterated,614469,571478,Rural,Inhabitant
Karnataka,Hassan,539,Channarayapatna,5560,A.Kalenahalli,ಅ.ಕಲೆನಹಳ್ಳಿ,transliterated,617108,573116,Rural,Inhabitant
Karnataka,Mandya,544,Nagamangala,5547,A.Nagathihalli,ಅ.ನಗಥಿಹಳ್ಳಿ,transliterated,613768,571448,Both,Inhabitant
Karnataka,Chikkamagaluru,532,Tarikere,5528,A.Rangapura,ಅ.ರಂಗಪುರ,transliterated,609145,577228,Rural,Inhabitant
Karnataka,Mandya,544,Nagamangala,5547,A.Sriramanahalli,ಅ.ಸ್ರಿರಮನಹಳ್ಳಿ,transliterated,613992,571432,Both,Inhabitant
Karnataka,Dharwad,536,Hubballi,5475,A.Timmasagar,ಅ.ತಿಂಮಸಗರ್,transliterated,602385,580024,Rural,Inhabitant
Karnataka,Kolar,542,Malur,5592,A.Upparahalli,ಅ.ಉಪ್ಪರಹಳ್ಳಿ,transliterated,622303,563130,Rural,Inhabitant
