State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Village Code,Pincode,Category,Status
Andhra Pradesh,Alluri Sitharama Raju,745,Ananthagiri,4845,Tekkapuram,,584408,531151,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Kunavaram,4731,Tekubaka,,579122,533351,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Kunavaram,4731,Tekuloddi,,579087,533350,Rural,Inhabitant
Andhra Pradesh,Sri Sathya Sai,754,Chilamathur,5366,Tekulodu,,595578,515341,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Vararamachandrapuram,4733,Tekuluru,,579250,533349,Rural,Inhabitant
Andhra Pradesh,Chittoor,503,Bangarupalem,5429,Tekumanda,,597034,517429,Rural,Inhabitant
Andhra Pradesh,Eluru,748,Velairpadu,4734,Tekupalle,,579306,534444,Rural,Inhabitant
Andhra Pradesh,Krishna,510,Mopidevi,5036,Tekupalle,,589767,521131,Rural,Inhabitant
Andhra Pradesh,Eluru,748,Polavaram,4949,Tekuru,,588095,534455,Rural,Inhabitant
Andhra Pradesh,Eluru,748,Velairpadu,4734,Tekuru,,579302,534444,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Narasannapeta,4799,Telagavalasa,,581420,532425,Rural,Inhabitant
Andhra Pradesh,Krishna,510,Unguturu,5013,Telaprolu,,589254,521109,Rural,Inhabitant
Andhra Pradesh,Ananthapuramu,502,Peddavaduguru,5311,Teliki,,594775,515405,Rural,Inhabitant
Andhra Pradesh,East Godavari,505,Nallajerla,4956,Telikicherla,,588252,534111,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Sarubujjili,4793,Telikipenta,,581156,532458,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Tekkali,4789,Telineelapuram,,580998,532212,Rural,Inhabitant
Andhra Pradesh,Ntr,749,Vissannapeta,5000,Tella Devarapalle,,589009,521215,Rural,Inhabitant
Andhra Pradesh,Prakasam,517,Donakonda,5102,Tella Padu,,590647,523305,Rural,Inhabitant
Andhra Pradesh,Palnadu,751,Nuzendla,5063,Tellabadu,,590100,522647,Rural,Inhabitant
Andhra Pradesh,Ntr,749,Gaddamanugu Konduru,5006,Telladevarapadu,,589127,521229,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Vararamachandrapuram,4733,Tellamvari Gudem,,579243,533349,Rural,Inhabitant
